Job,Operation,SubcontractOp,IMachine,IExpUnitRunTim,IExpSetUpTime,IExpStartupTime,IExpShutdownTim,IWaitTime,IWcRateInd,IStartupQty,ICapacityReqd,IMaxWorkOpertrs,IMaxProdUnits,ITimeTaken,IQuantity,MaxOpSpan,OpSlack,IStartupQtyEnt,IQuantityEnt,IExpUnitRunTimEnt,ITimeTakenEnt,SubSupplier,SupPoStkCode,SubQtyPer,SubOrderUom,SubUnitValue,SubWhatIfValue,SubPlanner,SubBuyer,SubLeadTime,SubDockToStock,SubOffsiteDays,SchStartDate,SchStartTime,SchEndDate,SchEndTime,OperationStatus,OpSplitFlag,MaxOpDelay,UnitValueReqd,RunTimeIssued,SetUpIssued,StartUpIssued,ShutdownIssued,ValueIssued,PiecesCompleted,ValueBilled,OperCompleted,QtyCompleted,QtyScrapped,LastScrapReason,PlannedQueueDate,PlannedStartDate,PlannedEndDate,ActualQueueDate,ActualStartDate,ActualFinishDate,AutoNarrCode,Narration,NonConformFlag,WorkCentre,WorkCentreDesc,ElapsedTime,MovementTime,UnitNumOfPieces,InspectionFlag,Milestone,MinorSetUp,MinorSetUpCode,ToolSet,ToolSetQty,ToolConsumption,QueueTime,MilestoneComp,CalcElapsedTime,HierHead1,HierHead2,HierHead3,HierHead4,HierHead5,CapacityIssued,Line,OpCompViaJob,TransferQtyOrPct,TransferQtyPct,ParentQtyPlanned,OperYieldPct,OperYieldQty,ParIssQty,HoursBilled,CoProductCostVal,QtyScrappedEnt,TransferQtyPctEnt,ParentQtyPlanEnt,OperYieldQtyEnt,ParIssQtyEnt,QtyCompletedEnt,ResourceMask,SchStartRunDate,SchStartRunTime,ScheduledMachine,AllowOpSplit,CreatedBy,ProductCode,LibraryCode,FirstSeq,SecondSeq,JobNest,TimeStamp,WipBranch,WipCtlGlCode,ProductionBin
137,1,N,MBFA01,1,1,0,0,0,1,0,300.25,1,1,0,0,0,0,0,0,1,0, , ,0, ,0,0, , ,0,0,0,NULL,0,NULL,0, , ,0,57.0516,300,0.25,0,0,17115.5,0,0,Y,300,0, ,00:00.0,00:00.0,00:00.0,NULL,00:00.0,00:00.0,0,A1, ,MBFA,Bicycle Assembly,38,0,1,N,Y,0,    ,JIG01,0,0,1, ,Y, , , , , ,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,300, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466D4, , , 
137,2,N,MBQA01,2,1,0,0,0,1,0,600,1,1,0,0,0,0,0,0,2,0, , ,0, ,0,0, , ,0,0,0,NULL,0,NULL,0, , ,0,114,600,0,0,0,34200,0,0,Y,300,0, ,00:00.0,00:00.0,00:00.0,NULL,00:00.0,00:00.0,9, , ,MBQA,Quality and Inspection,75,0,1,N,Y,0,    , ,0,0,1, ,Y, , , , , ,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,300, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466D5, , , 
137,3,N,MBCC01,0.25,1,0,0,0,1,0,75.25,1,1,0,0,0,0,0,0,0.25,0, , ,0, ,0,0, , ,0,0,0,NULL,0,NULL,0, , ,0,14.3016,75,0.25,0,0,4290.5,0,0,Y,300,0, ,00:00.0,00:00.0,00:00.0,NULL,00:00.0,00:00.0,0,W1, ,MBCC,Bicycle Cleaning Center,10,0,1,N,Y,0,    , ,0,0,0, ,Y, , , , , ,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,300, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466D6, , , 
140,1,N,MBFA01,1,1,0,0,1,1,0,1601,1,1,0,0,0,0,0,0,1,0, , ,0, ,0,0, , ,0,0,0,NULL,0,NULL,0, , ,0,57,1601,0,0,0,91257,0,0,Y,1601,0, ,00:00.0,00:00.0,00:00.0,NULL,00:00.0,00:00.0,0,A2, ,MBFA,Bicycle Assembly,201,0,1,N,Y,0,    ,JIG01,0,0,1, ,Y, , , , , ,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,1601, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466D7, , , 
141,1,N,DRIL01,0.25,1,0,0,0,1,0,400.35,1,1,0,0,0,0,0,0,0.25,0, , ,0, ,0,0, , ,0,0,0,NULL,0,NULL,0, , ,0,14.2529,400.25,0.1,0,0,22818.95,0,0,Y,1601,0, ,00:00.0,00:00.0,00:00.0,NULL,00:00.0,00:00.0,0,D2, ,DRILL,Drilling,51,0,1,N,Y,0,    , ,0,0,3, ,Y, , , , , ,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,1601, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466D8, , , 
141,2,N,MBWA01,0.2,1,0,0,0,1,0,320.2,1,1,0,0,0,0,0,0,0.2,0, , ,0, ,0,0, , ,0,0,0,NULL,0,NULL,0, , ,0,11.4,320.2,0,0,0,18251.4,0,0,Y,1601,0, ,00:00.0,00:00.0,00:00.0,NULL,00:00.0,00:00.0,0,A3, ,MBWA,Bicycle Wheel Assembly,41,0,1,N,Y,0,    , ,0,0,0, ,Y, , , , , ,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,1601, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466D9, , , 
141,3,N,DRIL01,0.2,1,0,0,0,1,0,320.4,1,1,0,0,0,0,0,0,0.2,0, , ,0, ,0,0, , ,0,0,0,NULL,0,NULL,0, , ,0,11.4058,320.2,0.2,0,0,18260.8,0,0,Y,1601,0, ,00:00.0,00:00.0,00:00.0,NULL,00:00.0,00:00.0,0,D3, ,DRILL,Drilling,41,-1,1,N,Y,0,    , ,0,0,3, ,Y, , , , , ,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,1601, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466DA, , , 
141,4,N,MBWA01,0.5,1,0,0,0,1,0,800.5,1,1,0,0,0,0,0,0,0.5,0, , ,0, ,0,0, , ,0,0,0,NULL,0,NULL,0, , ,0,28.5,800.5,0,0,0,45628.5,0,0,Y,1601,0, ,00:00.0,00:00.0,00:00.0,NULL,00:00.0,00:00.0,0,A4, ,MBWA,Bicycle Wheel Assembly,101,0,1,N,Y,0,    , ,0,0,0, ,Y, , , , , ,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,1601, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466DB, , , 
142,1,N,DRIL01,0.25,1,0,0,0,1,0,400.35,1,1,0,0,0,0,0,0,0.25,0, , ,0, ,0,0, , ,0,0,0,NULL,0,NULL,0, , ,0,14.2529,400.25,0.1,0,0,22818.95,0,0,Y,1601,0, ,00:00.0,00:00.0,00:00.0,NULL,00:00.0,00:00.0,0,D2, ,DRILL,Drilling,51,0,1,N,Y,0,    , ,0,0,3, ,Y, , , , , ,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,1601, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466DC, , , 
142,2,N,MBWA01,0.2,1,0,0,0,1,0,320.2,1,1,0,0,0,0,0,0,0.2,0, , ,0, ,0,0, , ,0,0,0,NULL,0,NULL,0, , ,0,11.4,320.2,0,0,0,18251.4,0,0,Y,1601,0, ,00:00.0,00:00.0,00:00.0,NULL,00:00.0,00:00.0,0,A3, ,MBWA,Bicycle Wheel Assembly,41,0,1,N,Y,0,    , ,0,0,0, ,Y, , , , , ,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,1601, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466DD, , , 
